reach_id,river_name,coastal_lon,coastal_lat
34100007646,Lena River,122.954167,72.881667
62100000266,Amazon river,-49.562932,0.243522
32100500016,Yenisei River,83.069997,71.076556
31310000016,Ob River,70.211140,66.464553
42109000016,Amur,140.735369,53.132698
13211000016,Congo,12.579958,-6.056479
82100700016,Mackenzie,-136.299510,69.034579
71211000016,Nelson River,-92.513030,57.028017
72409001056,Saint Lawrence River,-70.261578,47.461031
64300000016,Parana,-58.421677,-34.005754
43309000346,Yangtze,121.908145,31.586086
17300000296,Nile River,30.367228,31.467852
74300100016,Mississippi River,-89.374714,28.978522
61309001606,Orinoco,-60.783585,8.708550
28299000136,Volga,48.832387,45.876539
43301000016,Yellow River,119.325630,37.791460
12100000146,Zambezi,36.425075,-18.568187
14100000016,Niger River,6.071968,4.281720
45311101226,Ganges,90.655958,21.904227
44301000016,Mekong River,106.289710,9.581207
35191000016,Kolyma River,162.231973,69.612835
22603000016,Dnipro,31.517297,46.617299
81310100196,Yukon River,-164.576526,63.068035
14410100016,Volta River,0.675678,5.773271
63511000016,Rio Corrente,-36.450690,-10.518235
71170000016,Beaver River,-94.211350,58.792858
78100900016,Columbia River,-123.784293,46.100025
56510000016,Murray River,138.881338,-35.553401
33171000016,Kheta River,106.063026,72.976667
14590900016,Senegal River,-16.494447,16.042249
64170000016,Uruguay River,-58.342600,-33.119754
29390900016,Euphrates,48.635857,29.927169
77199000016,Colorado River,-114.751653,31.809750
26130000016,Northern Dvina,40.157213,64.736439
35139001346,Indigirka River,150.839077,71.419561
12801000016,Orange River,16.452790,-28.626916
65190900016,Rio Barrancas,-62.107393,-39.700569
83170900016,UNNAMED,-95.341074,67.173231
26170900016,UNNAMED,54.482158,68.294362
11410000016,Jubba River,42.605752,-0.249351
24310000016,Neva,30.178972,59.884894
61201000446,Magdalena,-74.814382,11.038159
22800000026,Danube,29.615159,44.879889
83250000016,Thelon River,-90.826909,63.447154
45590001266,Indus,67.498727,23.973402
12309000016,Limpopo River,33.526706,-25.197358
63109900016,Parnaiba River,-41.821051,-2.729527
33130900016,UNNAMED,99.690461,76.138923
35415000106,Anadyr River,177.530672,64.750467
44590000016,Irrawaddy River,94.331624,15.983669
45405000016,Narmada,72.778930,21.647499
33190000136,Arga-Sala River,119.884315,73.165294
43650000016,Xi River,113.679192,22.486453
45570000136,UNNAMED,68.400789,23.615219
23270700016,Elbe,8.221753,54.007523
31330000126,Pur River,77.676488,67.594688
31370000166,Taz River,78.848506,67.585263
45374100226,Krishna,80.187569,14.575116
75310100016,Rio Grande,-97.148601,25.951285
45330100016,Mahanadi River,86.704293,20.292658
28160100016,UNNAMED,53.628333,39.948333
33173000016,Anabar,113.402310,73.456479
72270100016,Koksoak River,-68.140669,58.523540
73270900016,Mobile River,-87.774122,30.283827
23250900036,Rhine,4.049677,51.832759
72408100016,Saguenay River,-69.719485,48.125415
65130000026,Arroyo Saladillo,-57.393019,-35.970835
56239000016,Victoria River,129.705629,-15.160905
28450900016,Aras,49.397262,39.327677
44305000016,Chao Phraya River,100.625220,13.523977
44530000026,Salween River,97.381437,16.510916
81170000016,Kuskokwak Creek,-162.147434,60.070066
11750100016,Rufiji,39.372285,-7.907363
45350000016,Godavari,81.721179,16.327198
63305000016,Jaguaribe River,-37.770344,-4.425966
13330900016,Ogowe River,8.888569,-1.040119
24100700016,Oder/Odra,13.753186,54.138278
13121000016,Cunene,11.750833,-17.250833
56350000156,Fitzroy River,150.881509,-23.534836
42450000016,Yalu River,124.273339,39.834777
77121000216,UNNAMED,-102.137316,17.943501
23230200016,La Vilaine,-2.471103,47.497388
14550000016,Bandama River,-5.006252,5.140962
65310000016,Quemquemtreu,-62.787023,-41.024647
71351000016,Severn River,-87.447448,56.022553
31320100466,Nadym River,71.994159,66.247752
11770100016,Rovuma,40.414803,-10.505800
13181000196,Cuanza River,13.204210,-9.211814
23170000076,Rio Douro,-8.674736,41.145364
61670100016,Crique Coswine,-53.952954,5.740702
71390000016,North French River,-80.414784,51.355036
75350900016,Rio Mezcalapa,-92.697641,18.592895
28293000016,UNNAMED,50.699167,46.990833
45390100016,Kaveri river,79.832035,11.357412
83270800146,UNNAMED,-94.697315,60.520528
56330000016,Burdekin River,147.591159,-19.727321
78310900016,Annacis Channel,-123.191411,49.108006
71310000016,UNNAMED,-92.167098,57.070933
45404100016,Tapi,72.723613,21.141253
42490100016,Liao River,121.769210,40.870361
